id,track_name,artists_name,artist_count,released_year,released_month,released_day
271,All Of The Girls You Loved Before,Taylor Swift,1,2019,8,23
272,PROVENZA,Karol G,1,2022,4,21
273,Princess Diana (with Nicki Minaj),"Nicki Minaj, Ice Spice",2,2023,4,14
274,Di Que Si,"Grupo Marca Registrada, Grupo Frontera",2,2023,2,3
275,Shivers,Ed Sheeran,1,2021,9,9
276,Igualito a Mi Apï¿,"Fuerza Regida, Peso Pluma",2,2022,12,30
277,Shoong! (feat. LISA of BLACKPINK),"TAEYANG, Lisa",2,2023,4,25
278,Komang,Raim Laode,1,2022,8,16
279,DESPECHï¿,ROSALï¿½,1,2022,7,28
280,Made You Look,Meghan Trainor,1,2022,10,21
281,Watch This - ARIZONATEARS Pluggnb Remix,"sped up nightcore, ARIZONATEARS, Lil Uzi Vert",3,2023,2,5
282,No Se Va,Grupo Frontera,1,2022,4,28
283,Punto G,Quevedo,1,2022,11,4
284,Lovers Rock,TV Girl,1,2014,6,5
285,METAMORPHOSIS,INTERWORLD,1,2021,11,25
286,Mami Chula,"Quevedo, Jhayco",2,2023,4,27
287,En Paris,"El Chachito, Junior H",2,2022,12,24
288,Set Me Free Pt.2,Jimin,1,2023,3,17
289,I Was Never There,"The Weeknd, Gesaffelstein",2,2018,3,29
290,Don't ever say love me (feat. RM of BTS),"RM, Colde",2,2023,5,4
291,Shut Down,BLACKPINK,1,2022,9,16
292,Gato de Noche,"Nengo Flow, Bad Bunny",2,2022,12,22
293,Call Out My Name,The Weeknd,1,2018,3,29
294,Like Crazy (English Version),Jimin,1,2023,3,24
295,Rosa Pastel,"Jasiel Nuï¿½ï¿½ez, Peso P",2,2023,2,2
296,Sunroof,"Nicky Youre, Dazy",2,2021,12,3
297,Lose Yourself - Soundtrack Version,Eminem,1,2002,1,1
298,Superman,"Eminem, Dina Rae",2,2002,5,26
299,Mas Rica Que Ayer,"Mambo Kingz, DJ Luian, Anuel Aa",3,2023,3,2
300,People Pt.2 (feat. IU),"IU, Agust D",2,2023,4,7
301,REMIX EXCLUSIVO,Feid,1,2023,3,17
302,"Arcï¿½ï¿½ngel: Bzrp Music Sessions, Vol","Arcangel, Bizarrap",2,2023,3,22
303,DOGTOOTH,"Tyler, The Creator",2,2023,3,27
304,10:35,"Tiï¿½ï¿½sto, Tate M",2,2022,11,1
305,SORRY NOT SORRY,"Tyler, The Creator",2,2023,3,31
306,HAPPY,NF,1,2023,3,25
307,La Bebe,Yng Lvcas,1,2021,12,24
308,I Know - PR1SVX Edit,"Kanii, PR1ISVX",2,2023,3,24
309,Late Night Talking,Harry Styles,1,2022,5,20
310,Leï¿½,Marï¿½ï¿½lia Mendo,1,2022,12,9
311,Save Your Tears (with Ariana Grande) (Remix),"Ariana Grande, The Weeknd",2,2020,3,20
312,Something in the Orange,Zach Bryan,1,2022,4,22
313,VOID,Melanie Martinez,1,2023,3,29
314,Dijeron Que No La Iba Lograr,"Fuerza Regida, Chino Pacas",2,2023,3,14
315,Midnight Rain,Taylor Swift,1,2022,10,21
316,If We Ever Broke Up,Mae Stephens,1,2023,2,10
317,You Proof,Morgan Wallen,1,2022,5,13
318,LA INOCENTE,"Feid, Mora",2,2022,4,1
319,Malas Decisiones,Kenia OS,1,2022,10,26
320,Murder In My Mind,Kordhell,1,2022,1,21
321,Gangsta's Paradise,"Coolio, L.V.",2,1995,7,11
322,CAIRO,"Karol G, Ovy On The Drums",2,2022,11,13
323,I Love You So,The Walters,1,2014,11,28
324,Dark Red,Steve Lacy,1,2017,2,20
325,Say You Won't Let Go,James Arthur,1,2016,9,9
326,The Hills,The Weeknd,1,2015,5,27
327,Heart To Heart,Mac DeMarco,1,2019,5,10
328,Peaches (from The Super Mario Bros. Movie),Jack Black,1,2023,4,7
329,Marisola - Remix,"Duki, NICKI NICOLE, Cris Mj, Standly, Stars Music Chile",5,2022,12,15
330,LOKERA,"Brray, Rauw Alejandro, Lyanno",3,2022,7,25
331,Low,SZA,1,2022,12,9
332,Numb,Linkin Park,1,2003,3,24
333,Tormenta (feat. Bad Bunny),"Gorillaz, Bad Bunny",2,2023,2,24
334,on the street (with J. Cole),"j-hope, J. Cole",2,2023,3,3
335,One Thing At A Time,Morgan Wallen,1,2022,12,2
336,Miss You,"Robin Schulz, Oliver Tree",2,2022,8,5
337,Ainï¿½ï¿½ï¿½t Tha,Morgan Wallen,1,2023,3,3
338,Thinkinï¿½ï¿½ï¿½ B,Morgan Wallen,1,2023,3,3
339,Private Landing (feat. Justin Bieber & Future),"Don Toliver, Future, Justin Bieber",3,2023,2,23
340,Everything I Love,Morgan Wallen,1,2023,1,31
341,Heaven,Niall Horan,1,2023,2,17
342,LET GO,Central Cee,1,2022,12,15
343,Sial,Mahalini,1,2023,1,23
344,I Wrote The Book,Morgan Wallen,1,2023,1,31
345,"Apna Bana Le (From ""Bhediya"")","Arijit Singh, Sachin-Jigar",2,2022,11,5
346,SPIT IN MY FACE!,ThxSoMch,1,2022,10,31
347,PLAYA DEL INGLï¿½,"Myke Towers, Quevedo",2,2022,12,15
348,Man Made A Bar (feat. Eric Church),"Morgan Wallen, Eric Church",2,2023,3,3
349,Red Ruby Da Sleeze,Nicki Minaj,1,2023,3,3
350,Kahani Suno 2.0,Kaifi Khalil,1,2022,5,31
351,Nobody Gets Me,SZA,1,2022,12,9
352,PERO Tï¿,"Karol G, Quevedo",2,2023,2,23
353,Hype Boy,NewJeans,1,2022,8,1
354,Bloody Mary,Lady Gaga,1,2011,1,1
355,Monotonï¿½,"Ozuna, Shakira",2,2022,10,19
356,ýýý98 Braves,Morgan Wallen,1,2023,3,3
357,WANDA,Quevedo,1,2023,1,20
358,Thought You Should Know,Morgan Wallen,1,2022,5,6
359,In The End,Linkin Park,1,2000,10,24
360,Zona De Perigo,Leo Santana,1,2022,12,8
361,Lovezinho,Treyce,1,2022,7,28
362,I Like You (A Happier Song) (with Doja Cat),"Post Malone, Doja Cat",2,2022,6,3
363,Neverita,Bad Bunny,1,2022,5,6
364,Vista Al Mar,Quevedo,1,2022,9,8
365,Sem Alianï¿½ï¿½a no ,"MC Xenon, Os Gemeos da Putaria",2,2022,12,23
366,Enemy (with JID) - from the series Arcane League of Legends,"Imagine Dragons, League of Legends, JID, Arcane",4,2021,9,3
367,Revenge,XXXTENTACION,1,2017,8,25
368,Bombonzinho - Ao Vivo,"Israel & Rodolffo, Ana Castela",2,2022,11,3
369,LA CANCIï¿½,"J Balvin, Bad Bunny",2,2019,6,28
370,Quï¿½ï¿½ Ago,"Yuridia, Angela Aguilar",2,2022,10,20
371,Love Again,The Kid Laroi,1,2023,1,27
372,After Hours,The Weeknd,1,2020,2,19
373,About Damn Time,Lizzo,1,2022,7,15
374,Born With A Beer In My Hand,Morgan Wallen,1,2023,3,3
375,ýýýýýýýýýýýýýýýýýýýýý,Fujii Kaze,1,2020,5,20
376,Besos Moja2,"Wisin & Yandel, ROSALï¿½",2,2022,9,29
377,Maan Meri Jaan,King,1,2022,10,12
378,Moscow Mule,Bad Bunny,1,2022,5,6
379,My Universe,"Coldplay, BTS",2,2021,9,24
380,Devil Donï¿½ï¿½ï¿½,Morgan Wallen,1,2023,3,3
381,LLYLM,ROSALï¿½,1,2023,1,27
382,I'm Not Here To Make Friends,"Sam Smith, Calvin Harris, Jessie Reyez",3,2023,1,27
383,TRUSTFALL,P!nk,1,2023,1,27
384,ANTIFRAGILE,LE SSERAFIM,1,2022,10,17
385,Boy's a liar,PinkPantheress,1,2022,11,30
386,VIBE (feat. Jimin of BTS),"TAEYANG, Jimin",2,2023,1,13
387,Shirt,SZA,1,2022,10,28
388,Lift Me Up - From Black Panther: Wakanda Forever - Music From and Inspired By,Rihanna,1,2022,10,28
389,STAR WALKIN' (League of Legends Worlds Anthem),Lil Nas X,1,2022,9,22
390,"Sex, Drugs, Etc.",Beach Weather,1,2016,11,4
391,Boy With Luv (feat. Halsey),"Halsey, BTS",2,2019,4,12
392,"Hey, Mickey!",Baby Tate,1,2016,9,27
393,Calm Down,Rï¿½ï,1,2022,2,9
394,Jhoome Jo Pathaan,"Arijit Singh, Vishal Dadlani, Sukriti Kakar, Vishal-Shekhar, Shekhar Ravjiani, Kumaar",6,2022,12,22
395,Escapism. - Sped Up,"RAYE, 070 Shake",2,2022,11,25
396,Space Song,Beach House,1,2015,1,1
397,Dreamers [Music from the FIFA World Cup Qatar 2022 Official Soundtrack],"BTS, Jung Kook, FIFA Sound",3,2022,11,20
398,Te Felicito,"Shakira, Rauw Alejandro",2,2022,4,21
399,Muï¿½ï¿½,"Steve Aoki, Tini, La Joaqui",3,2023,1,12
400,TV,Billie Eilish,1,2022,7,21
401,I'm Not The Only One,Sam Smith,1,2014,1,1
402,Heather,Conan Gray,1,2020,3,20
403,"Besharam Rang (From ""Pathaan"")","Vishal-Shekhar, Shilpa Rao, Caralisa Monteiro, Kumaar, Vishal Dadlani, Shekhar Ravjiani",6,2022,12,12
404,One Kiss (with Dua Lipa),"Calvin Harris, Dua Lipa",2,2017,6,2
405,Sugar Rush Ride,TOMORROW X TOGETHER,1,2023,1,27
406,Pink Venom,BLACKPINK,1,2022,8,19
407,WAIT FOR U (feat. Drake & Tems),"Drake, Future, Tems",3,2022,4,27
408,Don't Start Now,Dua Lipa,1,2019,10,31
409,After Dark,Mr.Kitty,1,2014,8,8
